"notedarray","id","name","url","price","image_link","category"
NULL,1,"Astylish Womens Open Front Long Sleeve Chunky Knit Cardigan Sweaters Loose Outwear Coat","http://amazon.com/Astylish-Fashion-Cardigan-Sweater-Outwear/dp/B07HH3DLDL/ref=sr_1_1?keywords=long+sleeve+outwear&qid=1660075014&sr=8-1","None","https://m.media-amazon.com/images/I/71JRvsuTZtL._AC_UL320_.jpg","long sleeve outwear"
NULL,2,"Women's Casual Lapel Collar Snake Skin Print Blazer Jacket Coat Open Front Long Sleeve Outwear Tops","http://amazon.com/Womens-Casual-Collar-Blazer-Outwear/dp/B083WDJXK8/ref=sr_1_2?keywords=long+sleeve+outwear&qid=1660075014&sr=8-2","$25.99","https://m.media-amazon.com/images/I/61PqfRkjGVL._AC_UL320_.jpg","long sleeve outwear"
NULL,3,"WENKOMG1 Men Faux Leather Jacket, Fall/Winter Thickening Coat Long Sleeve Zip Up Outwear Sports Basic Parka with Pocket","http://amazon.com/WENKOMG1-Leather-Thickening-Turtleneck-Motorcycle/dp/B09N8V6RMH/ref=sr_1_3?keywords=long+sleeve+outwear&qid=1660075014&sr=8-3","$17.39","https://m.media-amazon.com/images/I/717BIRGw4OL._AC_UL320_.jpg","long sleeve outwear"
NULL,4,"KIRUNDO Women’s Solid Color Sporty Sweatshirt Casual Loose Crew Neck Long Sleeves Pullover Ribbed Cuffs Hem Tops","http://amazon.com/KIRUNDO-Sweatshirt-Pullover-Sweaters-Split-Army/dp/B08DCVWL7H/ref=sr_1_4?keywords=long+sleeve+outwear&qid=1660075014&sr=8-4","None","https://m.media-amazon.com/images/I/51BzyiB5s1L._AC_UL320_.jpg","long sleeve outwear"
NULL,5,"Women's V-Neck Mens White Blazer Buttonless Casual Long Sleeve Hot Pink Blazer Women Solid Color Blazer Top Cardigan","http://amazon.com/Blazer-Jackets-Cardigans-Jacket-Cardigan/dp/B0B7BYPGPN/ref=sr_1_5?keywords=long+sleeve+outwear&qid=1660075014&sr=8-5","$16.99","https://m.media-amazon.com/images/I/61jrr6YqOyS._AC_UL320_.jpg","long sleeve outwear"
NULL,6,"Dokotoo Womens Simple Crewneck Long Sleeve Casual Thin Pullover Sweatshirts Tops Shirts","http://amazon.com/Dokotoo-Crewneck-Sunflower-Pullover-Sweatshirts/dp/B08BF7JHLX/ref=sr_1_6?keywords=long+sleeve+outwear&qid=1660075014&sr=8-6","None","https://m.media-amazon.com/images/I/71BE2a+7YPL._AC_UL320_.jpg","long sleeve outwear"
NULL,7,"Baby Girls Winter Hooded Fur Collar Thick Denim Jacket Coat Warm Faux Fur Fleece Zip Pocket Windproof Parka Down Outwear","http://amazon.com/Little-Winter-Windproof-Outwear-Toddler/dp/B08L91SN41/ref=sr_1_7?keywords=long+sleeve+outwear&qid=1660075014&sr=8-7","$29.92","https://m.media-amazon.com/images/I/61piW2q04DL._AC_UL320_.jpg","long sleeve outwear"
NULL,8,"Womens Faux Fur Coat Jacket Open Front Crop Tops Solid Color Shaggy Hooded Cardigan Long Sleeve Fashion Warm Outwear Memela","http://amazon.com/Womens-Cardigan-Fashion-Outwear-Memela/dp/B08KRMB66Q/ref=sr_1_8?keywords=long+sleeve+outwear&qid=1660075014&sr=8-8","$90.28","https://m.media-amazon.com/images/I/61M-6MfQLZL._AC_UL320_.jpg","long sleeve outwear"
NULL,9,"Diukia Women's Long Sleeves Collar Quarter 1/4 Zip Pullover Sweatshirts Casual Solid Hoodies with Pockets (S-2XL)","http://amazon.com/Diukia-Sweatshirt-Pullover-Outwear-Drawstring/dp/B08HJGPGTZ/ref=sr_1_9?keywords=long+sleeve+outwear&qid=1660075014&sr=8-9","None","https://m.media-amazon.com/images/I/61q26Z7oumL._AC_UL320_.jpg","long sleeve outwear"
NULL,10,"Simple Joys by Carter's Unisex Babies' Long-Sleeve Bodysuit, Pack of 7","http://amazon.com/Simple-Joys-Carters-Long-Sleeve-Bodysuit/dp/B07NH1WDWR/ref=sr_1_10?keywords=long+sleeve+outwear&qid=1660075014&sr=8-10","None","https://m.media-amazon.com/images/I/91M28rKvCOL._AC_UL320_.jpg","long sleeve outwear"
